Audit Timestamp,Corp Name,Client ID,Client Name,YL Status,Input URL,Desktop Unpaid CTN,Mobile Unpaid CTN,Desktop Paid CTN,Mobile Paid CTN,DB Unpaid CTN,Show Destination,DB Paid CTN,PPC,YL SSL Status,Final URL,Initial Status, Final Status,Final URL IP,Final URL NS,Analysis - Desktop Unpaid CTN,Analysis - Mobile Unpaid CTN,Analysis - Desktop Paid CTN,Analysis - Mobile Paid CTN,PPC Product,Session Tracking Code,Web Using SSL, Can SSL Be installed
2018-10-24 08:56:46,Floor Coverings International,360480,Floor Coverings International - Phoenix Market,LIVE,http://floorcoverings-phoenix.com,602-842-6950,602-842-6950,602-842-0102,602-842-0102,6028426950,False,6028420102,PPC Not Found,2,https://www.floorcoverings-phoenix.com/,301,200,209.17.116.160,ns3b.dns-host.com.,yes,yes,yes,yes,PPC Not Found,yes,yes,yes
2018-10-24 08:57:09,Floor Coverings International,360481,Floor Coverings International - Tampa Market,LIVE,http://floorcoverings-tampa.com,813-337-7932,813-337-7932,813-302-7790,813-302-7790,8133377932,False,8133027790,PPC Not Found,2,https://www.floorcoverings-tampa.com/,301,200,209.17.116.160,ns3a.dns-host.com.,yes,yes,yes,yes,PPC Not Found,yes,yes,yes
2018-10-24 08:57:31,Floor Coverings International,360482,Floor Coverings International - Atlanta Market,LIVE,http://floorcoverings-atlanta.com,678-729-7650,678-729-7650,678-671-2047,678-671-2047,6787297650,False,6786712047,PPC Not Found,2,https://www.floorcoverings-atlanta.com/,301,200,209.17.116.160,ns3b.dns-host.com.,yes,yes,yes,yes,PPC Not Found,yes,yes,yes
2018-10-24 08:57:53,Floor Coverings International,360483,Floor Coverings International - Minneapolis Market,LIVE,http://floorcoverings-minneapolis.com,952-314-6395,952-314-6395,952-392-9344,952-392-9344,9523146395,False,9523929344,PPC Not Found,2,https://www.floorcoverings-minneapolis.com/,301,200,209.17.116.160,ns3b.dns-host.com.,yes,yes,yes,yes,PPC Not Found,yes,yes,yes
2018-10-24 08:58:14,Floor Coverings International,360485,Floor Coverings International - Cleveland Market,LIVE,http://floorcoverings-cleveland.com,216-815-3537,216-815-3537,216-800-5299,216-800-5299,2168153537,False,2168005299,PPC Not Found,2,https://www.floorcoverings-cleveland.com/,301,200,209.17.116.160,ns3b.dns-host.com.,yes,yes,yes,yes,PPC Not Found,yes,yes,yes
2018-10-24 08:58:36,Floor Coverings International,360486,Floor Coverings International - West Chester  Market,LIVE,http://floorcoverings-westchester.com,484-690-4067,484-690-4067,484-756-4436,484-756-4436,4846904067,False,4847564436,PPC Not Found,2,https://www.floorcoverings-westchester.com/,301,200,209.17.116.160,ns3a.dns-host.com.,yes,yes,yes,yes,PPC Not Found,yes,yes,yes
2018-10-24 08:58:57,Floor Coverings International,360487,Floor Coverings International - Charleston Market,LIVE,http://floorcoverings-charleston.com,843-636-8744,843-636-8744,843-779-9399,843-779-9399,8436368744,False,8437799399,PPC Not Found,2,https://www.floorcoverings-charleston.com/,301,200,209.17.116.160,ns3a.dns-host.com.,yes,yes,yes,yes,PPC Not Found,yes,yes,yes
2018-10-24 08:59:19,Floor Coverings International,360488,Floor Coverings International - Dallas Market,LIVE,http://floorcoverings-dallas.com,972-525-0193,972-525-0193,972-525-0725,972-525-0725,9725250193,False,9725250725,PPC Not Found,2,https://www.floorcoverings-dallas.com/,301,200,209.17.116.160,ns3b.dns-host.com.,yes,yes,yes,yes,PPC Not Found,yes,yes,yes
2018-10-24 08:59:42,Floor Coverings International,360489,Floor Coverings International - Milwaukee-Waukesha  Market,LIVE,http://floorcoverings-milwaukeemetro.com,262-485-4162,262-485-4162,262-236-5340,262-236-5340,2624854162,False,2622365340,PPC Not Found,2,https://www.floorcoverings-milwaukeemetro.com/,301,200,209.17.116.160,ns3a.dns-host.com.,yes,yes,yes,yes,PPC Not Found,yes,yes,yes
2018-10-24 09:00:04,Floor Coverings International,360490,Floor Coverings International - Vancouver Market,LIVE,http://floorcoverings-vancouver.com,360-419-6276,360-419-6276,360-419-6574,360-419-6574,3604196276,False,3604196574,PPC Not Found,2,https://www.floorcoverings-vancouver.com/,301,200,209.17.116.160,ns3a.dns-host.com.,yes,yes,yes,yes,PPC Not Found,yes,yes,yes
2018-10-24 09:00:26,Floor Coverings International,363355,Floor Coverings International - Corporate Shell Account,LIVE,http://None,No Desktop Unpaid Numbers,No Mobile Unpaid Numbers,No Desktop Paid Numbers,No Mobile Paid Numbers,No DB Unpaid Number,No DB Paid Number,PPC Not Found,None,http://none/,0,0,0,0,no,no,no,no,PPC Not Found,no,no,no
