Audit Timestamp,Corp Name,Client ID,Client Name,YL Status,Input URL,Desktop Unpaid CTN,Mobile Unpaid CTN,Desktop Paid CTN,Mobile Paid CTN,DB Unpaid CTN,Show Destination,DB Paid CTN,PPC,YL SSL Status,Final URL,Initial Status, Final Status,Final URL IP,Final URL NS,Analysis - Desktop Unpaid CTN,Analysis - Mobile Unpaid CTN,Analysis - Desktop Paid CTN,Analysis - Mobile Paid CTN,PPC Product,Session Tracking Code,Web Using SSL, Can SSL Be installed
2018-10-24 05:03:53,Dimensional Dental Management,330338,DD- Eastern Dental Shell Account,LIVE,http://easterndental.com,No Desktop Unpaid Numbers,No Mobile Unpaid Numbers,No Desktop Paid Numbers,No Mobile Paid Numbers,3134515903,True,No DB Paid Number,PPC Not Found,0,https://www.easterndental.com/,301,200,209.17.116.160,ns.rackspace.com.,no,no,no,no,PPC Not Found,yes,yes,no
2018-10-24 05:04:14,Dimensional Dental Management,331492,DD- Eastern Dental of Burlington NJ,LIVE,http://easterndental.com/offices/burlington-nj/,856-499-0412,856-499-0412,856-389-2333,856-389-2333,8564990412,False,8563892333,PPC Not Found,0,https://www.easterndental.com/offices/burlington-nj/,301,200,209.17.116.160,ns.rackspace.com.,yes,yes,yes,yes,PPC Not Found,yes,yes,no
2018-10-24 05:04:34,Dimensional Dental Management,331542,DD- Eastern Dental of Flemington NJ,LIVE,http://easterndental.com/offices/flemington-nj/,908-968-0064,908-968-0064,908-483-7733,908-483-7733,9089680064,False,9084837733,PPC Not Found,0,https://www.easterndental.com/offices/flemington-nj/,301,200,209.17.116.160,ns2.rackspace.com.,yes,yes,yes,yes,PPC Not Found,yes,yes,no
2018-10-24 05:04:53,Dimensional Dental Management,331549,DD- Eastern Dental of Eatontown NJ,LIVE,http://easterndental.com/offices/eatontown-nj/,732-686-6296,732-686-6296,732-508-7628,732-508-7628,7326866296,False,7325087628,PPC Not Found,0,https://www.easterndental.com/offices/eatontown-nj/,301,200,209.17.116.160,ns2.rackspace.com.,yes,yes,yes,yes,PPC Not Found,yes,yes,no
2018-10-24 05:05:12,Dimensional Dental Management,331557,DD- Eastern Dental of Woodbury Heights NJ,LIVE,http://easterndental.com/offices/woodbury-heights-nj/,856-345-9900,856-345-9900,856-202-7887,856-202-7887,8563459900,False,8562027887,PPC Not Found,0,https://www.easterndental.com/offices/woodbury-heights-nj/,301,200,209.17.116.160,ns.rackspace.com.,yes,yes,yes,yes,PPC Not Found,yes,yes,no
2018-10-24 05:05:32,Dimensional Dental Management,331559,DD- Eastern Dental of Hamilton NJ,LIVE,http://easterndental.com/offices/hamilton-nj/,609-807-2063,609-807-2063,609-528-4265,609-528-4265,6098072063,False,6095284265,PPC Not Found,0,https://www.easterndental.com/offices/hamilton-nj/,301,200,209.17.116.160,ns2.rackspace.com.,yes,yes,yes,yes,PPC Not Found,yes,yes,no
2018-10-24 05:05:51,Dimensional Dental Management,331561,DD- Eastern Dental of Woodbridge NJ,LIVE,http://easterndental.com/offices/woodbridge-nj/,848-999-4835,848-999-4835,732-527-3055,732-527-3055,8489994835,False,7325273055,PPC Not Found,0,https://www.easterndental.com/offices/woodbridge-nj/,301,200,209.17.116.160,ns.rackspace.com.,yes,yes,yes,yes,PPC Not Found,yes,yes,no
2018-10-24 05:06:12,Dimensional Dental Management,331563,DD- Eastern Dental of Howell NJ,LIVE,http://easterndental.com/offices/howell-nj/,732-702-0437,732-702-0437,732-702-0244,732-702-0244,7327020437,False,7327020244,PPC Not Found,0,https://www.easterndental.com/offices/howell-nj/,301,200,209.17.116.160,ns2.rackspace.com.,yes,yes,yes,yes,PPC Not Found,yes,yes,no
2018-10-24 05:06:32,Dimensional Dental Management,331567,DD- Eastern Dental of Marlton NJ,LIVE,http://easterndental.com/offices/marlton-nj/,856-334-0811,856-334-0811,856-267-0186,856-267-0186,8563340811,False,8562670186,PPC Not Found,0,https://www.easterndental.com/offices/marlton-nj/,301,200,209.17.116.160,ns2.rackspace.com.,yes,yes,yes,yes,PPC Not Found,yes,yes,no
2018-10-24 05:06:51,Dimensional Dental Management,331571,DD- Eastern Dental of Vineland NJ,LIVE,http://easterndental.com/offices/vineland-nj/,856-899-5442,856-899-5442,856-457-4304,856-457-4304,8568995442,False,8564574304,PPC Not Found,0,https://www.easterndental.com/offices/vineland-nj/,301,200,209.17.116.160,ns.rackspace.com.,yes,yes,yes,yes,PPC Not Found,yes,yes,no
2018-10-24 05:07:11,Dimensional Dental Management,331578,DD- Eastern Dental of Ewing NJ,LIVE,http://easterndental.com/offices/ewing-nj/,609-362-3103,609-362-3103,609-323-5094,609-323-5094,6093623103,False,6093235094,PPC Not Found,0,https://www.easterndental.com/offices/ewing-nj/,301,200,209.17.116.160,ns.rackspace.com.,yes,yes,yes,yes,PPC Not Found,yes,yes,no
2018-10-24 05:07:30,Dimensional Dental Management,331582,DD- Eastern Dental of Manahawkin NJ,LIVE,http://easterndental.com/offices/manahawkin-nj/,609-607-7080,609-607-7080,609-488-4652,609-488-4652,6096077080,False,6094884652,PPC Not Found,0,https://www.easterndental.com/offices/manahawkin-nj/,301,200,209.17.116.160,ns.rackspace.com.,yes,yes,yes,yes,PPC Not Found,yes,yes,no
2018-10-24 05:07:49,Dimensional Dental Management,331583,DD- Eastern Dental of Union NJ,LIVE,http://easterndental.com/offices/union-nj/,908-364-4164,908-364-4164,908-349-0094,908-349-0094,9083644164,False,9083490094,PPC Not Found,0,https://www.easterndental.com/offices/union-nj/,301,200,209.17.116.160,ns.rackspace.com.,yes,yes,yes,yes,PPC Not Found,yes,yes,no
2018-10-24 05:08:08,Dimensional Dental Management,331586,DD- Eastern Dental of Toms River NJ,LIVE,http://easterndental.com/offices/toms-river-nj/,732-908-8504,732-908-8504,732-573-6040,732-573-6040,7329088504,False,7325736040,PPC Not Found,0,https://www.easterndental.com/offices/toms-river-nj/,301,200,209.17.116.160,ns2.rackspace.com.,yes,yes,yes,yes,PPC Not Found,yes,yes,no
2018-10-24 05:08:28,Dimensional Dental Management,331591,DD- Eastern Dental of Clifton NJ,LIVE,http://easterndental.com/offices/passaic-essex-nj/,973-594-6931,973-594-6931,862-414-2968,862-414-2968,9735946931,False,8624142968,PPC Not Found,0,https://www.easterndental.com/offices/passaic-essex-nj/,301,200,209.17.116.160,ns.rackspace.com.,yes,yes,yes,yes,PPC Not Found,yes,yes,no
2018-10-24 05:08:47,Dimensional Dental Management,331617,DD- Eastern Dental of Parsippany NJ,LIVE,http://easterndental.com/offices/parsippany-nj/,862-345-7897,862-345-7897,862-345-6875,862-345-6875,8623457897,False,8623456875,PPC Not Found,0,https://www.easterndental.com/offices/parsippany-nj/,301,200,209.17.116.160,ns.rackspace.com.,yes,yes,yes,yes,PPC Not Found,yes,yes,no
2018-10-24 05:09:08,Dimensional Dental Management,331620,DD- Eastern Dental of Old Bridge NJ,LIVE,http://easterndental.com/offices/old-bridge-nj/,732-707-6654,732-707-6654,732-479-4324,732-479-4324,7327076654,False,7324794324,PPC Not Found,0,https://www.easterndental.com/offices/old-bridge-nj/,301,200,209.17.116.160,ns2.rackspace.com.,yes,yes,yes,yes,PPC Not Found,yes,yes,no
