Audit Timestamp,Corp Name,Client ID,Client Name,YL Status,Input URL,Desktop Unpaid CTN,Mobile Unpaid CTN,Desktop Paid CTN,Mobile Paid CTN,DB Unpaid CTN,Show Destination,DB Paid CTN,PPC,YL SSL Status,Final URL,Initial Status, Final Status,Final URL IP,Final URL NS,Analysis - Desktop Unpaid CTN,Analysis - Mobile Unpaid CTN,Analysis - Desktop Paid CTN,Analysis - Mobile Paid CTN,PPC Product,Session Tracking Code,Web Using SSL, Can SSL Be installed
2018-10-24 04:12:05,Miracle-Ear Canada,193346,Miracle-Ear -Abbotsford BC - 90001A76,LIVE,http://miracle-ear.ca/locations/abbotsford-bc/,888.498.1907,888.498.1907,888.507.9784,888.507.9784,8884981907,False,8885079784,PPC Not Found,0,https://www.miracle-ear.ca/locations/abbotsford-bc/,301,200,69.18.202.153,ns12.dnsmadeeasy.com.,yes,yes,yes,yes,PPC Not Found,yes,yes,no
2018-10-24 04:12:28,Miracle-Ear Canada,193352,Miracle-Ear -Rockyview-90001A77,LIVE,http://miracle-ear.ca/locations/calgary-ab-glenmore-trail/,587.316.1460,587.316.1460,587.316.1534,587.316.1534,5873161460,False,5873161534,PPC Not Found,0,https://www.miracle-ear.ca/locations/calgary-ab-glenmore-trail/,301,200,69.18.202.153,ns10.dnsmadeeasy.com.,yes,yes,yes,yes,PPC Not Found,yes,yes,no
2018-10-24 04:12:49,Miracle-Ear Canada,193354,Miracle-Ear -Chilliwack BC - 90001A78,LIVE,http://miracle-ear.ca/locations/chilliwack-bc/,888.906.4798,888.906.4798,888.594.8913,888.594.8913,8889064798,False,8885948913,PPC Not Found,0,https://www.miracle-ear.ca/locations/chilliwack-bc/,301,200,69.18.202.153,ns15.dnsmadeeasy.com.,yes,yes,yes,yes,PPC Not Found,yes,yes,no
2018-10-24 04:13:10,Miracle-Ear Canada,193356,Miracle-Ear- Kamloops-90001A79,LIVE,http://miracle-ear.ca/locations/kamloops-bc/,778.765.0310,778.765.0310,778.765.0310,778.765.0310,7787650310,False,8886167910,PPC Not Found,0,https://www.miracle-ear.ca/locations/kamloops-bc/,301,200,69.18.202.153,ns12.dnsmadeeasy.com.,yes,yes,no,no,PPC Not Found,yes,yes,no
2018-10-24 04:13:31,Miracle-Ear Canada,193362,Miracle-Ear- Langley-90001A80,LIVE,http://miracle-ear.ca/locations/langley-bc/,778.726.0619,778.726.0619,778.726.0619,778.726.0619,7787260619,False,6042566401,PPC Not Found,0,https://www.miracle-ear.ca/locations/langley-bc/,301,200,69.18.202.153,ns15.dnsmadeeasy.com.,yes,yes,no,no,PPC Not Found,yes,yes,no
2018-10-24 04:13:52,Miracle-Ear Canada,193364,Miracle-Ear- Vancouver - 90001A85,LIVE,http://miracle-ear.ca/locations/vancouver-bc/,778.654.7002,778.654.7002,604.901.4946,604.901.4946,7786547002,False,6049014946,PPC Not Found,0,https://www.miracle-ear.ca/locations/vancouver-bc/,301,200,69.18.202.153,ns15.dnsmadeeasy.com.,yes,yes,yes,yes,PPC Not Found,yes,yes,no
2018-10-24 04:14:12,Miracle-Ear Canada,193372,Miracle-Ear -Maple Ridge BC - 90001A81,LIVE,http://miracle-ear.ca/locations/mapleridge-bc/,604.200.8890,604.200.8890,604.210.9067,604.210.9067,6042008890,False,6042109067,PPC Not Found,0,https://www.miracle-ear.ca/locations/mapleridge-bc/,301,200,69.18.202.153,ns15.dnsmadeeasy.com.,yes,yes,yes,yes,PPC Not Found,yes,yes,no
2018-10-24 04:14:33,Miracle-Ear Canada,193378,Miracle-Ear- Richmond - 90001A84,LIVE,http://miracle-ear.ca/locations/richmond-bc/,604.248.5948,604.248.5948,604.239.0236,604.239.0236,6042485948,False,6042390236,PPC Not Found,0,https://www.miracle-ear.ca/locations/richmond-bc/,301,200,69.18.202.153,ns12.dnsmadeeasy.com.,yes,yes,yes,yes,PPC Not Found,yes,yes,no
2018-10-24 04:14:54,Miracle-Ear Canada,193384,Miracle-Ear -New Westminster BC - 90001A82,LIVE,http://miracle-ear.ca/locations/newwestminster-bc/,604.200.8901,604.200.8901,604.239.3380,604.239.3380,6042008901,False,6042393380,PPC Not Found,0,https://www.miracle-ear.ca/locations/newwestminster-bc/,301,200,69.18.202.153,ns10.dnsmadeeasy.com.,yes,yes,yes,yes,PPC Not Found,yes,yes,no
2018-10-24 04:15:15,Miracle-Ear Canada,193389,Miracle-Ear- North Vancouver - 90001A83,LIVE,http://miracle-ear.ca/locations/northvancouver-bc/,604.210.7791,604.210.7791,604.227.7734,604.227.7734,6042107791,False,6042277734,PPC Not Found,0,https://www.miracle-ear.ca/locations/northvancouver-bc/,301,200,69.18.202.153,ns10.dnsmadeeasy.com.,yes,yes,yes,yes,PPC Not Found,yes,yes,no
2018-10-24 04:15:37,Miracle-Ear Canada,206120,Miracle-Ear - Surrey BC- 90001A89,LIVE,http://miracle-ear.ca/locations/surrey-bc/,604.256.6903,604.256.6903,604.256.6886,604.256.6886,6042566903,False,6042566886,PPC Not Found,0,https://www.miracle-ear.ca/locations/surrey-bc/,301,200,69.18.202.153,ns12.dnsmadeeasy.com.,yes,yes,yes,yes,PPC Not Found,yes,yes,no
2018-10-24 04:15:58,Miracle-Ear Canada,206127,Miracle-Ear - South Surrey BC- 90001A90,LIVE,http://miracle-ear.ca/locations/southsurrey-bc/,604.256.6908,604.256.6908,604.243.9905,604.243.9905,6042566908,False,6042439905,PPC Not Found,0,https://www.miracle-ear.ca/locations/southsurrey-bc/,301,200,69.18.202.153,ns12.dnsmadeeasy.com.,yes,yes,yes,yes,PPC Not Found,yes,yes,no
2018-10-24 04:16:19,Miracle-Ear Canada,217945,Miracle-Ear -Nanaimo - 90001A91,LIVE,http://miracle-ear.ca/locations/nanaimo-bc/,778.762.0038,778.762.0038,888.607.0461,888.607.0461,7787620038,False,8886070461,PPC Not Found,0,https://www.miracle-ear.ca/locations/nanaimo-bc/,301,200,69.18.202.153,ns11.dnsmadeeasy.com.,yes,yes,yes,yes,PPC Not Found,yes,yes,no
2018-10-24 04:16:40,Miracle-Ear Canada,217947,Miracle-Ear -Victoria - 90001A92,LIVE,http://miracle-ear.ca/locations/victoria-bc/,778.402.4158,778.402.4158,778.402.4148,778.402.4148,7784024158,False,7784024148,PPC Not Found,0,https://www.miracle-ear.ca/locations/victoria-bc/,301,200,69.18.202.153,ns13.dnsmadeeasy.com.,yes,yes,yes,yes,PPC Not Found,yes,yes,no
2018-10-24 04:17:01,Miracle-Ear Canada,230134,Miracle Ear - Calgary Bonavista - 90001A93,LIVE,http://miracle-ear.ca/locations/calgary-ab-lakebonavista-promenade/,587.315.8881,587.315.8881,587.315.8845,587.315.8845,5873158881,False,5873158845,PPC Not Found,0,https://www.miracle-ear.ca/locations/calgary-ab-lakebonavista-promenade/,301,200,69.18.202.153,ns13.dnsmadeeasy.com.,yes,yes,yes,yes,PPC Not Found,yes,yes,no
2018-10-24 04:17:22,Miracle-Ear Canada,230140,Miracle Ear - Coach Hill - 90001A94,LIVE,http://miracle-ear.ca/locations/calgary-ab/,587.315.8909,587.315.8909,587.315.8848,587.315.8848,5873158909,False,5873158848,PPC Not Found,0,https://www.miracle-ear.ca/locations/calgary-ab/,301,200,69.18.202.153,ns12.dnsmadeeasy.com.,yes,yes,yes,yes,PPC Not Found,yes,yes,no
2018-10-24 04:17:43,Miracle-Ear Canada,234899,Miracle Ear - Edmonton AB - 90001A95,LIVE,http://miracle-ear.ca/locations/edmonton-ab/,587.408.6916,587.408.6916,780.936.3250,780.936.3250,5874086916,False,7809363250,PPC Not Found,0,https://www.miracle-ear.ca/locations/edmonton-ab/,301,200,69.18.202.153,ns12.dnsmadeeasy.com.,yes,yes,yes,yes,PPC Not Found,yes,yes,no
2018-10-24 04:18:04,Miracle-Ear Canada,240865,Miracle Ear - Canadian Tracking - 90001A ( DO NOT DELETE),LIVE,http://miracle-ear-tracking.ca,No Desktop Unpaid Numbers,No Mobile Unpaid Numbers,No Desktop Paid Numbers,No Mobile Paid Numbers,6042591392,False,7786546735,PPC Not Found,0,http://miracle-ear-tracking.ca/,0,0,0,0,no,no,no,no,PPC Not Found,no,no,no
