URL,Status,Number of redirects,Redirect Chain,Final URL,Final URL Status
http://www.hometeam-tampabay.com/about.html,301,1,http://www.hometeam-tampabay.com/about.html | ,https://www.hometeam.com/locations/tampabay/about_us.html,200,
http://www.hometeam-tampabay.com/contact_success.html,301,1,http://www.hometeam-tampabay.com/contact_success.html | ,https://www.hometeam.com/locations/tampabay/contact_success.html,200,
http://www.hometeam-tampabay.com/contact_us.html,301,1,http://www.hometeam-tampabay.com/contact_us.html | ,https://www.hometeam.com/locations/tampabay/%23scheduleInspection,200,
http://www.hometeam-tampabay.com/get_started.html,301,1,http://www.hometeam-tampabay.com/get_started.html | ,https://www.hometeam.com/locations/tampabay/services.html,200,
http://www.hometeam-tampabay.com/gs_home_buyers.html,301,1,http://www.hometeam-tampabay.com/gs_home_buyers.html | ,https://www.hometeam.com/locations/tampabay/services.html,200,
http://www.hometeam-tampabay.com/gs_home_owners.html,301,1,http://www.hometeam-tampabay.com/gs_home_owners.html | ,https://www.hometeam.com/locations/tampabay/services.html,200,
http://www.hometeam-tampabay.com/gs_new_construction.html,301,1,http://www.hometeam-tampabay.com/gs_new_construction.html | ,https://www.hometeam.com/locations/tampabay/services.html,200,
http://www.hometeam-tampabay.com/gs_real_estate.html,301,1,http://www.hometeam-tampabay.com/gs_real_estate.html | ,https://www.hometeam.com/locations/tampabay/services.html,200,
http://www.hometeam-tampabay.com/home_inspection.html,301,1,http://www.hometeam-tampabay.com/home_inspection.html | ,https://www.hometeam.com/locations/tampabay/home_inspection.html,200,
http://www.hometeam-tampabay.com/homeowner_resources.html,301,1,http://www.hometeam-tampabay.com/homeowner_resources.html | ,https://www.hometeam.com/locations/tampabay/,200,
http://www.hometeam-tampabay.com/hometeam_privacy_policy.html,301,1,http://www.hometeam-tampabay.com/hometeam_privacy_policy.html | ,https://www.hometeam.com/privacy_policy.html,200,
http://www.hometeam-tampabay.com/index.html,301,1,http://www.hometeam-tampabay.com/index.html | ,https://www.hometeam.com/locations/tampabay/,200,
http://www.hometeam-tampabay.com/my_hometeam.html,301,1,http://www.hometeam-tampabay.com/my_hometeam.html | ,https://www.hometeam.com/locations/tampabay/,200,
http://www.hometeam-tampabay.com/pest_and_termite_inspection.html,301,1,http://www.hometeam-tampabay.com/pest_and_termite_inspection.html | ,https://www.hometeam.com/locations/tampabay/pest_termite_and_wdo_inspections.html,200,
http://www.hometeam-tampabay.com/privacy_policy.html,301,1,http://www.hometeam-tampabay.com/privacy_policy.html | ,https://www.hometeam.com/privacy_policy.html,200,
http://www.hometeam-tampabay.com/radon_inspections_and_tests.html,301,1,http://www.hometeam-tampabay.com/radon_inspections_and_tests.html | ,https://www.hometeam.com/locations/tampabay/radon_inspections_and_tests.html,404,
http://www.hometeam-tampabay.com/services.html,301,1,http://www.hometeam-tampabay.com/services.html | ,https://www.hometeam.com/locations/tampabay/services.html,200,
http://www.hometeam-tampabay.com/testimonials.html,301,1,http://www.hometeam-tampabay.com/testimonials.html | ,https://www.hometeam.com/locations/tampabay/testimonials.html,200,
http://www.hometeam-eastcincy.com/about.html,301,1,http://www.hometeam-eastcincy.com/about.html | ,https://www.hometeam.com/locations/southernohio/about_us.html,200,
http://www.hometeam-eastcincy.com/air_quality_testing.html,301,1,http://www.hometeam-eastcincy.com/air_quality_testing.html | ,https://www.hometeam.com/locations/southernohio/indoor_air_quality_testing.html,200,
http://www.hometeam-eastcincy.com/commercial_property_inspections.html,301,1,http://www.hometeam-eastcincy.com/commercial_property_inspections.html | ,https://www.hometeam.com/locations/southernohio/commercial_buildings_and_property_inspections.html,200,
http://www.hometeam-eastcincy.com/contact_success.html,301,1,http://www.hometeam-eastcincy.com/contact_success.html | ,https://www.hometeam.com/locations/southernohio/contact_success.html,200,
http://www.hometeam-eastcincy.com/contact_us.html,301,1,http://www.hometeam-eastcincy.com/contact_us.html | ,https://www.hometeam.com/locations/southernohio/%23scheduleInspection,200,
http://www.hometeam-eastcincy.com/get_started.html,301,1,http://www.hometeam-eastcincy.com/get_started.html | ,https://www.hometeam.com/locations/southernohio/services.html,200,
http://www.hometeam-eastcincy.com/gs_home_buyers.html,301,1,http://www.hometeam-eastcincy.com/gs_home_buyers.html | ,https://www.hometeam.com/locations/southernohio/services.html,200,
http://www.hometeam-eastcincy.com/gs_home_owners.html,301,1,http://www.hometeam-eastcincy.com/gs_home_owners.html | ,https://www.hometeam.com/locations/southernohio/services.html,200,
http://www.hometeam-eastcincy.com/gs_new_construction.html,301,1,http://www.hometeam-eastcincy.com/gs_new_construction.html | ,https://www.hometeam.com/locations/southernohio/services.html,200,
http://www.hometeam-eastcincy.com/gs_real_estate.html,301,1,http://www.hometeam-eastcincy.com/gs_real_estate.html | ,https://www.hometeam.com/locations/southernohio/services.html,200,
http://www.hometeam-eastcincy.com/home_inspection.html,301,1,http://www.hometeam-eastcincy.com/home_inspection.html | ,https://www.hometeam.com/locations/southernohio/home_inspection.html,200,
http://www.hometeam-eastcincy.com/homeowner_resources.html,301,1,http://www.hometeam-eastcincy.com/homeowner_resources.html | ,https://www.hometeam.com/locations/southernohio/,200,
http://www.hometeam-eastcincy.com/hometeam_privacy_policy.html,301,1,http://www.hometeam-eastcincy.com/hometeam_privacy_policy.html | ,https://www.hometeam.com/privacy_policy.html,200,
http://www.hometeam-eastcincy.com/index.html,301,1,http://www.hometeam-eastcincy.com/index.html | ,https://www.hometeam.com/locations/southernohio/,200,
http://www.hometeam-eastcincy.com/mold_inspection.html,301,1,http://www.hometeam-eastcincy.com/mold_inspection.html | ,https://www.hometeam.com/locations/southernohio/mold_inspection_and_tests.html,200,
http://www.hometeam-eastcincy.com/my_hometeam.html,301,1,http://www.hometeam-eastcincy.com/my_hometeam.html | ,https://www.hometeam.com/locations/southernohio/,200,
