ClientID,URL,Status,Number of redirects,Redirect Chain,Final URL,Final URL Status,Final URL IP,Final URL NS,
3392,mrelectric-capecoral.com,301,3,http://mrelectric-capecoral.com/ | https://mrelectric-capecoral.com/ | http://www.mrelectric-capecoral.com/ | ,https://www.mrelectric-capecoral.com/,200,209.17.116.160,ns3a.dns-host.com.,
187807,web.mrelectric.com/waukesha,301,2,http://web.mrelectric.com/waukesha | https://web.mrelectric.com/waukesha | ,https://web.mrelectric.com/waukesha/,200,162.223.12.199,edns86.ultradns.org.,
230357,mrelectric-fairfax.com,301,3,http://mrelectric-fairfax.com/ | https://mrelectric-fairfax.com/ | http://www.mrelectric-fairfax.com/ | ,https://www.mrelectric-fairfax.com/,200,209.17.116.160,ns3a.dns-host.com.,
230359,mrelectric-montgomery.com,301,3,http://mrelectric-montgomery.com/ | https://mrelectric-montgomery.com/ | http://www.mrelectric-montgomery.com/ | ,https://www.mrelectric-montgomery.com/,200,209.17.116.160,ns3b.dns-host.com.,
233402,mrelectric.com/paola,301,1,http://mrelectric.com/paola | ,https://mrelectric.com/paola,200,162.223.12.199,edns86.ultradns.org.,
233658,web.mrelectric.com/central-kentucky,301,2,http://web.mrelectric.com/central-kentucky | https://web.mrelectric.com/central-kentucky | ,https://web.mrelectric.com/central-kentucky/,200,162.223.12.199,edns86.ultradns.org.,
235248,web.mrelectric.com/chesapeake,301,2,http://web.mrelectric.com/chesapeake | https://web.mrelectric.com/chesapeake | ,https://web.mrelectric.com/chesapeake/,200,162.223.12.199,edns86.ultradns.org.,
235331,mrelectric-orange.com,301,3,http://mrelectric-orange.com/ | https://mrelectric-orange.com/ | http://www.mrelectric-orange.com/ | ,https://www.mrelectric-orange.com/,200,209.17.116.160,ns3a.dns-host.com.,
235450,web.mrelectric.com/central-iowa,301,2,http://web.mrelectric.com/central-iowa | https://web.mrelectric.com/central-iowa | ,https://web.mrelectric.com/central-iowa/,200,162.223.12.199,edns86.ultradns.org.,
236340,mrelectric-centralmichigan.com,301,3,http://mrelectric-centralmichigan.com/ | https://mrelectric-centralmichigan.com/ | http://www.mrelectric-centralmichigan.com/ | ,https://www.mrelectric-centralmichigan.com/,200,209.17.116.160,ns3a.dns-host.com.,
