URL,Status,Number of redirects,Redirect Chain,Final URL,Final URL Status
stratusnashville.com/sitemap.xml,301,3,http://stratusnashville.com/sitemap.xml | https://stratusnashville.com/sitemap.xml | http://www.stratusnashville.com/sitemap.xml | ,https://www.stratusnashville.com/sitemap.xml,200,
stratusphoenix.com/sitemap.xml,301,3,http://stratusphoenix.com/sitemap.xml | https://stratusphoenix.com/sitemap.xml | http://www.stratusphoenix.com/sitemap.xml | ,https://www.stratusphoenix.com/sitemap.xml,200,
stratusofkansascity.com/sitemap.xml,301,3,http://stratusofkansascity.com/sitemap.xml | https://stratusofkansascity.com/sitemap.xml | http://www.stratusofkansascity.com/sitemap.xml | ,https://www.stratusofkansascity.com/sitemap.xml,200,
stratuslosangeles.com/sitemap.xml,301,3,http://stratuslosangeles.com/sitemap.xml | https://stratuslosangeles.com/sitemap.xml | http://www.stratuslosangeles.com/sitemap.xml | ,https://www.stratuslosangeles.com/sitemap.xml,200,
stratusofcleveland.com/sitemap.xml,301,3,http://stratusofcleveland.com/sitemap.xml | https://stratusofcleveland.com/sitemap.xml | http://www.stratusofcleveland.com/sitemap.xml | ,https://www.stratusofcleveland.com/sitemap.xml,200,
stratusofiowa.com/sitemap.xml,301,3,http://stratusofiowa.com/sitemap.xml | https://stratusofiowa.com/sitemap.xml | http://www.stratusofiowa.com/sitemap.xml | ,https://www.stratusofiowa.com/sitemap.xml,200,
stratusbuildingsolutions.com/master_office/sacramento/sitemap.xml,301,2,http://stratusbuildingsolutions.com/master_office/sacramento/sitemap.xml | https://stratusbuildingsolutions.com/master_office/sacramento/sitemap.xml | ,https://www.stratusbuildingsolutions.com/master_office/sacramento/sitemap.xml,404,
stratusphiladelphiapa.com/sitemap.xml,301,3,http://stratusphiladelphiapa.com/sitemap.xml | https://stratusphiladelphiapa.com/sitemap.xml | http://www.stratusphiladelphiapa.com/sitemap.xml | ,https://www.stratusphiladelphiapa.com/sitemap.xml,200,
stratussandiego.com/sitemap.xml,301,3,http://stratussandiego.com/sitemap.xml | https://stratussandiego.com/sitemap.xml | http://www.stratussandiego.com/sitemap.xml | ,https://www.stratussandiego.com/sitemap.xml,200,
stratusbuildingsolutions.com/master_office/san-jose/sitemap.xml,301,2,http://stratusbuildingsolutions.com/master_office/san-jose/sitemap.xml | https://stratusbuildingsolutions.com/master_office/san-jose/sitemap.xml | ,https://www.stratusbuildingsolutions.com/master_office/san-jose/sitemap.xml,404,
stratusdenver.com/sitemap.xml,301,3,http://stratusdenver.com/sitemap.xml | https://stratusdenver.com/sitemap.xml | http://www.stratusdenver.com/sitemap.xml | ,https://www.stratusdenver.com/sitemap.xml,200,
stratusbuildingsolutions.com/master_office/loveland/sitemap.xml,301,2,http://stratusbuildingsolutions.com/master_office/loveland/sitemap.xml | https://stratusbuildingsolutions.com/master_office/loveland/sitemap.xml | ,https://www.stratusbuildingsolutions.com/master_office/loveland/sitemap.xml,404,
stratusofcoloradosprings.com/sitemap.xml,301,3,http://stratusofcoloradosprings.com/sitemap.xml | https://stratusofcoloradosprings.com/sitemap.xml | http://www.stratusofcoloradosprings.com/sitemap.xml | ,https://www.stratusofcoloradosprings.com/sitemap.xml,404,
stratusbuildingsolutions.com/master_office/upstate-carolina/sitemap.xml,301,2,http://stratusbuildingsolutions.com/master_office/upstate-carolina/sitemap.xml | https://stratusbuildingsolutions.com/master_office/upstate-carolina/sitemap.xml | ,https://www.stratusbuildingsolutions.com/master_office/upstate-carolina/sitemap.xml,404,
stratusofdelaware.com/sitemap.xml,301,3,http://stratusofdelaware.com/sitemap.xml | https://stratusofdelaware.com/sitemap.xml | http://www.stratusofdelaware.com/sitemap.xml | ,https://www.stratusofdelaware.com/sitemap.xml,200,
stratusofwichita.com/sitemap.xml,301,3,http://stratusofwichita.com/sitemap.xml | https://stratusofwichita.com/sitemap.xml | http://www.stratusofwichita.com/sitemap.xml | ,https://www.stratusofwichita.com/sitemap.xml,200,
stratusofaustin.com/sitemap.xml,301,3,http://stratusofaustin.com/sitemap.xml | https://stratusofaustin.com/sitemap.xml | http://www.stratusofaustin.com/sitemap.xml | ,https://www.stratusofaustin.com/sitemap.xml,200,
stratusofhawaii.com/sitemap.xml,301,3,http://stratusofhawaii.com/sitemap.xml | https://stratusofhawaii.com/sitemap.xml | http://www.stratusofhawaii.com/sitemap.xml | ,https://www.stratusofhawaii.com/sitemap.xml,200,
stratuscincinnati.com/sitemap.xml,301,3,http://stratuscincinnati.com/sitemap.xml | https://stratuscincinnati.com/sitemap.xml | http://www.stratuscincinnati.com/sitemap.xml | ,https://www.stratuscincinnati.com/sitemap.xml,200,
