URL,Status,Number of redirects,Redirect Chain,Final URL,Final URL Status,Final URL IP,Final URL NS,
benfranklinofil.com/sitemap.xml,301,3,http://benfranklinofil.com/sitemap.xml | https://benfranklinofil.com/sitemap.xml | http://www.benfranklinofil.com/sitemap.xml | ,https://www.benfranklinofil.com/sitemap.xml,200,209.17.116.160,ns3a.dns-host.com.,
benjaminfranklinplumbingtoledo.com/sitemap.xml,301,1,http://benjaminfranklinplumbingtoledo.com/sitemap.xml | ,http://www.benjaminfranklinplumbingtoledo.com/sitemap.xml,200,205.178.153.6,dns2.cscdns.net.,
benjaminfranklinwilm.com/sitemap.xml,301,1,http://benjaminfranklinwilm.com/sitemap.xml | ,http://www.benjaminfranklinwilm.com/sitemap.xml,200,205.178.153.6,ns59.worldnic.com.,
benfranklinplumbingvabeach.com/sitemap.xml,301,1,http://benfranklinplumbingvabeach.com/sitemap.xml | ,http://www.benfranklinplumbingvabeach.com/sitemap.xml,200,205.178.153.6,dns2.cscdns.net.,
benfranklinplumbingconcord.com/sitemap.xml,301,1,http://benfranklinplumbingconcord.com/sitemap.xml | ,http://www.benfranklinplumbingconcord.com/sitemap.xml,200,205.178.153.6,dns2.cscdns.net.,
mybenfranklinplumbing.com/sitemap.xml,301,1,http://mybenfranklinplumbing.com/sitemap.xml | ,http://www.mybenfranklinplumbing.com/sitemap.xml,200,205.178.153.6,ns65.domaincontrol.com.,
benfranklinplumbingames.com/sitemap.xml,301,1,http://benfranklinplumbingames.com/sitemap.xml | ,http://www.benfranklinplumbingames.com/sitemap.xml,200,205.178.153.6,dns2.cscdns.net.,
ocbenfranklinplumbing.com/sitemap.xml,301,1,http://ocbenfranklinplumbing.com/sitemap.xml | ,http://www.ocbenfranklinplumbing.com/sitemap.xml,200,205.178.153.6,ns01.domaincontrol.com.,
benfranklinbloomington.com/sitemap.xml,301,1,http://benfranklinbloomington.com/sitemap.xml | ,http://www.benfranklinbloomington.com/sitemap.xml,200,205.178.153.6,dns2.cscdns.net.,
benfranklinplumbinggreenwood.com/sitemap.xml,301,1,http://benfranklinplumbinggreenwood.com/sitemap.xml | ,http://www.benfranklinplumbinggreenwood.com/sitemap.xml,200,205.178.153.6,dns2.cscdns.net.,
benfranklinclarksville.com/sitemap.xml,301,3,http://benfranklinclarksville.com/sitemap.xml | https://benfranklinclarksville.com/sitemap.xml | http://www.benfranklinclarksville.com/sitemap.xml | ,https://www.benfranklinclarksville.com/sitemap.xml,200,209.17.116.160,ns3b.dns-host.com.,
