status,url,title,description,h1-1,referer
200,https://www.affordabledentures.com/office/tucson/services.html,"Dentist in Tucson, AZ | Tucson, Arizona Affordable Dentures & Implants,Affordable Dentures Implants Logo,Affordable Dentures Logo Mark","Call Tucson, Arizona Affordable Dentures & Implants at 520-375-9626 to learn about our  services in Tucson, AZ.",<h1>Our Services</h1>,https://www.affordabledentures.com/office/tucson/
200,https://www.affordabledentures.com/implants/affordable_implant_solutions.html,"Affordable Implant Solutions | Affordable Dentures & Implants,Affordable Dentures Logo,Location Marker,100 Day Guarantee,Warranty,Care Credit Logo,100 Day Guarantee,Warranty,Care Credit Logo,Logo Mark",Affordable Dentures offers several different implant solutions within our practice network. Our dentists & practice staff will help find the best option for you.,<h1>Affordable Implant Solutions</h1>,https://www.affordabledentures.com/office/tucson/
200,https://www.affordabledentures.com/implants/,"Dental Implants | Affordable Dentures & Implants,Affordable Dentures Logo,Location Marker,100 Day Guarantee,Warranty,Care Credit Logo,100 Day Guarantee,Warranty,Care Credit Logo,Logo Mark","Dental Implants are titanium posts that are inserted into your bone and act like the roots of your teeth. They allow us to eat, speak, and smile with confidence.",<h1>Dental Implants</h1>,https://www.affordabledentures.com/office/tucson/
200,https://www.affordabledentures.com/dentures-extractions/sedation_dentistry.html,"Sedation Dentistry | Affordable Dentures & Implants,Affordable Dentures Logo,Location Marker,100 Day Guarantee,Warranty,Care Credit Logo,100 Day Guarantee,Warranty,Care Credit Logo,Logo Mark","To make your dental visit more enjoyable and relaxing, some Affordable Dentures practices now offer conscious sedation dentistry.",<h1>Sedation Dentistry</h1>,https://www.affordabledentures.com/office/tucson/
200,https://www.affordabledentures.com/sitemap.html,"Sitemap | Raleigh, NC | Affordable Dentures,Affordable Dentures Logo,Location Marker,100 Day Guarantee,Warranty,Care Credit Logo,100 Day Guarantee,Warranty,Care Credit Logo,Logo Mark",Thank you for visiting Affordable Dentures. Check out our website today or call us at 888-626-4472 for more information.,<h1>HTML Sitemap</h1>,https://www.affordabledentures.com/office/tucson/
200,https://www.affordabledentures.com/terms_of_use.html,"Terms Of Use | Raleigh, NC | Affordable Dentures,Affordable Dentures Logo,Location Marker,100 Day Guarantee,Warranty,Care Credit Logo,100 Day Guarantee,Warranty,Care Credit Logo,Logo Mark",We take your privacy very seriously at Affordable Dentures. Please read through our communications policy and let us know if you have any questions.,<h1>Website Terms of Use</h1>,https://www.affordabledentures.com/office/tucson/
200,https://www.affordabledentures.com/office/cape-girardeau/services.html,"Dentist in Cape Girardeau, MO | Cape Girardeau, Missouri Affordable Dentures & Implants,Affordable Dentures Implants Logo,Affordable Dentures Logo Mark","Call Cape Girardeau, Missouri Affordable Dentures & Implants at 573-653-3002 to learn about our  services in Cape Girardeau, MO.",<h1>Our Services</h1>,https://www.affordabledentures.com/office/cape-girardeau/
200,https://www.affordabledentures.com/office/kalamazoo/print_offers.html,"Print Offers | Kalamazoo, Michigan Affordable Dentures & Implants","Print all offers for Kalamazoo, Michigan Affordable Dentures & Implants.",,https://www.affordabledentures.com/office/kalamazoo/
200,https://www.affordabledentures.com/office/rockford/services.html,"Dentist in Rockford, IL | Rockford, Illinois Affordable Dentures & Implants,Affordable Dentures Implants Logo,Appointment Calendar,Appointment Calendar,Affordable Dentures Logo Mark","Call Rockford, Illinois Affordable Dentures & Implants at 815-207-8759 to learn about our  services in Rockford, IL.",<h1>Our Services</h1>,https://www.affordabledentures.com/office/rockford/
200,https://www.affordabledentures.com/office/northglenn/services.html,"Dentist in Northglenn, CO | Northglenn, Colorado Affordable Dentures & Implants,Affordable Dentures Implants Logo,Affordable Dentures Logo Mark","Call Northglenn, Colorado Affordable Dentures & Implants at 303-416-5070 to learn about our  services in Northglenn, CO.",<h1>Our Services</h1>,https://www.affordabledentures.com/office/northglenn/
200,https://www.affordabledentures.com/office/pell-city/print_offers.html,"Print Offers | Pell City, Alabama Affordable Dentures & Implants","Print all offers for Pell City, Alabama Affordable Dentures & Implants.",,https://www.affordabledentures.com/office/pell-city/
