status,url,title,description,h1-1,referer
200,https://www.merrymaids.com,Merry Maids: Relax. It's Done® | Maid Service & House Keeping,"Merry Maids provides customized residential cleaning & maid services near you throughout a network of over 950 areas in the United States and over 1,000 locations worldwide.",,https://www.merrymaids.com/locations/co/south-denver/
200,https://www.merrymaids.com/reviews,Merry Maids Reviews,House Cleaning Reviews  Selecting the right house cleaning company is not an easy job. Stress comes from lots of places and your home should not be one of them. Read these Merry Maids reviews and learn why our expertise and consistent results make us the difference.,,https://www.merrymaids.com/locations/co/south-denver/
200,https://www.merrymaids.com/our-offers,Special Offers Discounts Coupons | Merry Maids,"maid service coupon,merry maids coupon","<h1 class=""regular-banner-h1"">Our Promotions</h1>",https://www.merrymaids.com/locations/co/south-denver/
200,https://www.merrymaids.com/site-map,Site Map | Merry Maids,,"<h1 class=""white-banner-h1"">Site Map</h1>",https://www.merrymaids.com/locations/co/south-denver/
200,https://www.merrymaids.com/privacy,Privacy Policy | Merry Maids,"Your Privacy MERRY MAIDS PRIVACY POLICY Effective Date: December 19, 2013","<h1 class=""white-banner-h1"">Privacy Policy</h1>",https://www.merrymaids.com/locations/co/south-denver/
200,https://www.merrymaids.com/company-history,Company History | Merry Maids,"Merry Maids was founded in 1979 in Omaha, Nebraska by Dallen Peterson. Dallen worked with his family to create the Merry Maids system and franchise the company.","<h1 class=""white-banner-h1"">Company History</h1>",https://www.merrymaids.com/locations/co/south-denver/
200,https://www.merrymaids.com/our-people,Our People | Merry Maids,Merry Maids knows you expect a lot and we deliver more. Let our maid cleaning services gain your,"<h1 class=""regular-banner-h1"">Our People</h1>",https://www.merrymaids.com/locations/co/south-denver/
200,https://www.merrymaids.com/press-room,Press Room | Merry Maids,"When you’re considering an investment like this, you want to know that your home will be cared for by your cleaning service just as well as you would care for it yourself.","<h1 class=""white-banner-h1"">Press Room</h1>",https://www.merrymaids.com
200,https://www.merrymaids.com/terms-of-use,Terms of Use | Merry Maids,,"<h1 class=""white-banner-h1"">Terms of Use</h1>",https://www.merrymaids.com
200,https://www.merrymaids.com/blog/,Merry Maids Cleaning Blog,A few of our favorite cleaning tips for when you have to face dirt alone.,"<h1 class=""regular-banner-h1"">Merry Maids Blog</h1>",https://www.merrymaids.com/locations/co/south-denver/
