status,url,title,description,h1-1,referer
200,https://www.affordabledentures.com/dentures-extractions/index.html,"Full & Partial Dentures | Affordable Dentures & Implants,Affordable Dentures Logo,Location Marker,100 Day Guarantee,Warranty,Care Credit Logo,100 Day Guarantee,Warranty,Care Credit Logo,Logo Mark",Affordable Dentures are offered in a variety of styles that include full & partial dentures. Our dentists will help you find the best match for your needs.,<h1>Dentures &amp; Extractions</h1>,https://www.affordabledentures.com
200,https://www.affordabledentures.com/what-to-expect/patient_satisfaction.html,"Patient Satisfaction | Affordable Dentures & Implants,Affordable Dentures Logo,Location Marker,100 Day Guarantee,Warranty,Care Credit Logo,100 Day Guarantee,Warranty,Care Credit Logo,Logo Mark",Our Patient Satisfaction Commitment simply means we want you to be completely satisfied with the services you receive at the practice.,<h1>Patient Satisfaction</h1>,https://www.affordabledentures.com
200,https://www.affordabledentures.com/what-to-expect/special_needs.html,"Special Needs | Affordable Dentures & Implants,Affordable Dentures Logo,Location Marker,100 Day Guarantee,Warranty,Care Credit Logo,100 Day Guarantee,Warranty,Care Credit Logo,Logo Mark","If you have a health condition or physical impairment that requires special attention, please let us know. We will make our best effort to accommodate you.",<h1>Special Needs</h1>,https://www.affordabledentures.com
200,https://www.affordabledentures.com/what-to-expect/,"Fees & Payment Methods | Affordable Dentures & Implants,Affordable Dentures Logo,Location Marker,100 Day Guarantee,Warranty,Care Credit Logo,100 Day Guarantee,Warranty,Care Credit Logo,Logo Mark","Our affiliated practices accept dental insurance plans as well as cash, Visa, MasterCard, Discover, and, in most cases, checks with valid ID.",<h1>Fees &amp; Payment Methods</h1>,https://www.affordabledentures.com
200,https://www.affordabledentures.com/sitemap.html,"Sitemap | Raleigh, NC | Affordable Dentures,Affordable Dentures Logo,Location Marker,100 Day Guarantee,Warranty,Care Credit Logo,100 Day Guarantee,Warranty,Care Credit Logo,Logo Mark",Thank you for visiting Affordable Dentures. Check out our website today or call us at 888-626-4472 for more information.,<h1>HTML Sitemap</h1>,https://www.affordabledentures.com
200,https://www.affordabledentures.com/advertiser_privacy_policy.html,"Advertiser Privacy Policy | Raleigh, NC | Affordable Dentures,Affordable Dentures Logo,Location Marker,100 Day Guarantee,Warranty,Care Credit Logo,100 Day Guarantee,Warranty,Care Credit Logo,Logo Mark",We take your privacy very seriously at Affordable Dentures. Please read through our privacy policy and let us know if you have any questions.,<h1>Advertiser Privacy Policy</h1>,https://www.affordabledentures.com
200,https://www.affordabledentures.com/contact-us/,"Contact Us | Affordable Dentures & Implants,Affordable Dentures Logo,Location Marker",Call today or email us and a Patient Support Specialist will respond to your question within 24 hours Monday-Friday (Eastern time).,"<h1>Find a Practice Near You</h1>,<h1>Contact Us</h1>,<h1 id=""transfer_heading"">Transfer Records</h1>",https://www.affordabledentures.com
200,https://www.affordabledentures.com/communications_policy.html,"Communications Policy | Raleigh, NC | Affordable Dentures,Affordable Dentures Logo,Location Marker,100 Day Guarantee,Warranty,Care Credit Logo,100 Day Guarantee,Warranty,Care Credit Logo,Logo Mark",We take your privacy very seriously at Affordable Dentures. Please read through our communications policy and let us know if you have any questions.,<h1>Communications Policy</h1>,https://www.affordabledentures.com
200,https://www.affordabledentures.com/terms_of_use.html,"Terms Of Use | Raleigh, NC | Affordable Dentures,Affordable Dentures Logo,Location Marker,100 Day Guarantee,Warranty,Care Credit Logo,100 Day Guarantee,Warranty,Care Credit Logo,Logo Mark",We take your privacy very seriously at Affordable Dentures. Please read through our communications policy and let us know if you have any questions.,<h1>Website Terms of Use</h1>,https://www.affordabledentures.com
200,https://www.affordabledentures.com/about-us/community_partners.html,"Community Sponsors | Affordable Dentures & Implants,Affordable Dentures Logo,Location Marker,100 Day Guarantee,Warranty,Care Credit Logo,100 Day Guarantee,Warranty,Care Credit Logo,Logo Mark",Our team can answer any questions about establishing new care provider sponsorships. Call 1-888-253-7717 to learn how we work with agency/third party providers.,<h1>Community Partners</h1>,https://www.affordabledentures.com
200,https://www.affordabledentures.com/implants/implant_faqs.html,"FAQ's About Dental Implants | Affordable Dentures & Implants,Affordable Dentures Logo,Location Marker,100 Day Guarantee,Warranty,Care Credit Logo,100 Day Guarantee,Warranty,Care Credit Logo,Logo Mark","Check here to get answers to some of the most commonly asked questions regarding dental implants, from what they are to how much they can cost.",<h1>Frequently Asked Questions about Implants</h1>,https://www.affordabledentures.com
200,https://www.affordabledentures.com/implants/patient_experience.html,"Implant Patient Experience | Affordable Dentures & Implants,Affordable Dentures Logo,Location Marker,100 Day Guarantee,Warranty,Care Credit Logo,100 Day Guarantee,Warranty,Care Credit Logo,Logo Mark","Get more details on what to expect, starting with your first appointment with the dentist. We want you to smile throughout the entire implant process!",<h1>Patient Experience</h1>,https://www.affordabledentures.com
200,https://www.affordabledentures.com/implants/making_implants_affordable.html,"Making Implants Affordable - Affordable Dentures,Affordable Dentures Logo,Location Marker,100 Day Guarantee,Warranty,Care Credit Logo,100 Day Guarantee,Warranty,Care Credit Logo,Logo Mark",,<h1>Making Implants Affordable</h1>,https://www.affordabledentures.com
200,https://www.affordabledentures.com/implants/affordable_implant_solutions.html,"Affordable Implant Solutions | Affordable Dentures & Implants,Affordable Dentures Logo,Location Marker,100 Day Guarantee,Warranty,Care Credit Logo,100 Day Guarantee,Warranty,Care Credit Logo,Logo Mark",Affordable Dentures offers several different implant solutions within our practice network. Our dentists & practice staff will help find the best option for you.,<h1>Affordable Implant Solutions</h1>,https://www.affordabledentures.com
200,https://www.affordabledentures.com/implants/,"Dental Implants | Affordable Dentures & Implants,Affordable Dentures Logo,Location Marker,100 Day Guarantee,Warranty,Care Credit Logo,100 Day Guarantee,Warranty,Care Credit Logo,Logo Mark","Dental Implants are titanium posts that are inserted into your bone and act like the roots of your teeth. They allow us to eat, speak, and smile with confidence.",<h1>Dental Implants</h1>,https://www.affordabledentures.com
200,https://www.affordabledentures.com/dentures-extractions/,"Full & Partial Dentures | Affordable Dentures & Implants,Affordable Dentures Logo,Location Marker,100 Day Guarantee,Warranty,Care Credit Logo,100 Day Guarantee,Warranty,Care Credit Logo,Logo Mark",Affordable Dentures are offered in a variety of styles that include full & partial dentures. Our dentists will help you find the best match for your needs.,<h1>Dentures &amp; Extractions</h1>,https://www.affordabledentures.com
200,https://www.affordabledentures.com/index.html,"Dentures Dentists | Affordable Dentures & Implants,Affordable Dentures Logo,Location Marker,Play,Logo Mark","The Affordable Dentures & Implants network has served more than six million dental patients since the first office opened nearly 40 years ago in Kinston, NC.",<h1>Be Your Future Self with Affordable Dentures &amp; Implants</h1>,https://www.affordabledentures.com
200,https://www.affordabledentures.com/locations.html,"Locations | Affordable Dentures & Implants,Affordable Dentures Logo,Location Marker",Find an Affordable Dentures & Implants location near you using our location finder.,,https://www.affordabledentures.com
200,https://www.affordabledentures.com/contact-us/index.html,"Contact Us | Affordable Dentures & Implants,Affordable Dentures Logo,Location Marker",Call today or email us and a Patient Support Specialist will respond to your question within 24 hours Monday-Friday (Eastern time).,"<h1>Find a Practice Near You</h1>,<h1>Contact Us</h1>,<h1 id=""transfer_heading"">Transfer Records</h1>",https://www.affordabledentures.com
200,https://www.affordabledentures.com/about-us/index.html,"About Us | Affordable Dentures & Implants,Affordable Dentures Logo,Location Marker,100 Day Guarantee,Warranty,Care Credit Logo,100 Day Guarantee,Warranty,Care Credit Logo,Logo Mark,Logo Mark","The first Affordable Dentures practice was opened in 1975 in Kinston, North Carolina by founding dentists, Dr. George Edwards, Jr., and Dr. Donald Henson.",<h1>About Us</h1>,https://www.affordabledentures.com
