status,url,title,description,h1-1,referer
200,https://www.lascasasdental.com/dental_technology.html,"Dental Technology Tucson, AZ | Dentist in Tucson, AZ | Las Casas Dental Office, P.C.","Call Las Casas Dental Office, P.C. at 520-477-0149 now for exceptional Dental Technology service in Tucson, AZ!","<h1><a href=""index.html""><img src=""First_Logo.png"" alt=""Las Casas Dental Office, P.C.""></a></h1>,<h1>Dental Technology</h1>",https://www.lascasasdental.com/
200,https://www.lascasasdental.com/dental_implants.html,"Dental Implants Tucson, AZ | Dentist in Tucson, AZ | Las Casas Dental Office, P.C.","Call Las Casas Dental Office, P.C. at 520-477-0149 now for exceptional dental implants service in Tucson, AZ!","<h1><a href=""index.html""><img src=""First_Logo.png"" alt=""Las Casas Dental Office, P.C.""></a></h1>",https://www.lascasasdental.com/
200,https://www.lascasasdental.com/root_canal.html,"Root Canal Tucson, AZ | Dentist in Tucson, AZ | Las Casas Dental Office, P.C.","Call Las Casas Dental Office, P.C. at 520-477-0149 now for exceptional Root Canal service in Tucson, AZ!","<h1><a href=""index.html""><img src=""First_Logo.png"" alt=""Las Casas Dental Office, P.C.""></a></h1>",https://www.lascasasdental.com/
200,https://www.lascasasdental.com/sitemap.html,"Sitemap |  Tucson, AZ | Las Casas Dental Office, P.C.","Come visit us at Las Casas Dental for your regular check-ups. We also do more intensive work to correct any possible issues. Our Tucson, AZ Dentists consistently achieve amazing results.","<h1><a href=""index.html""><img src=""First_Logo.png"" alt=""Las Casas Dental Office, P.C.""></a></h1>",https://www.lascasasdental.com/
200,https://www.lascasasdental.com/our_office.html,"Our Office |  Tucson, AZ | Las Casas Dental Office, P.C.","Come visit us at Las Casas Dental for your regular check-ups. We also do more intensive work to correct any possible issues. Our Tucson, AZ Dentists consistently achieve amazing results.","<h1><a href=""index.html""><img src=""First_Logo.png"" alt=""Las Casas Dental Office, P.C.""></a></h1>",https://www.lascasasdental.com/
200,https://www.lascasasdental.com/dental_fillings.html,"Fillings Dentists Tucson, AZ | Dentist in Tucson, AZ | Las Casas Dental Office, P.C.","Call Las Casas Dental Office, P.C. at 520-477-0149 now for exceptional fillings dentists service in Tucson, AZ!","<h1><a href=""index.html""><img src=""First_Logo.png"" alt=""Las Casas Dental Office, P.C.""></a></h1>",https://www.lascasasdental.com/
404,https://www.lascasasdental.com/office_tour.html,"Page Not Found | Tucson, AZ | Las Casas Dental Office, P.C.","Come visit us at Las Casas Dental for your regular check-ups. We also do more intensive work to correct any possible issues. Our Tucson, AZ Dentists consistently achieve amazing results.","<h1><a href=""index.html""><img src=""First_Logo.png"" alt=""Las Casas Dental Office, P.C.""></a></h1>",https://www.lascasasdental.com/
200,https://www.lascasasdental.com/teeth_extraction.html,"Tooth Extraction Dentist Tucson, AZ | Dentist in Tucson, AZ | Las Casas Dental Office, P.C.","Call Las Casas Dental Office, P.C. at 520-477-0149 now for exceptional tooth extraction dentist service in Tucson, AZ!","<h1><a href=""index.html""><img src=""First_Logo.png"" alt=""Las Casas Dental Office, P.C.""></a></h1>",https://www.lascasasdental.com/
200,https://www.lascasasdental.com/privacy_policy.html,"Privacy Policy | Tucson, AZ | Las Casas Dental Office, P.C.","Come visit us at Las Casas Dental for your regular check-ups. We also do more intensive work to correct any possible issues. Our Tucson, AZ Dentists consistently achieve amazing results.","<h1><a href=""index.html""><img src=""First_Logo.png"" alt=""Las Casas Dental Office, P.C.""></a></h1>",https://www.lascasasdental.com/
200,https://www.lascasasdental.com/general_dentistry.html,"Dental Care Tucson, AZ | Dentist in Tucson, AZ | Las Casas Dental Office, P.C.","Call Las Casas Dental Office, P.C. at 520-477-0149 now for exceptional dental care service in Tucson, AZ!","<h1><a href=""index.html""><img src=""First_Logo.png"" alt=""Las Casas Dental Office, P.C.""></a></h1>",https://www.lascasasdental.com/
